id,track_name,artist_name,album_name,external_url,release_date,acousticness,danceability,duration_ms,energy,explicit,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,valence
3s3pbToR5GZYv7lis5utk1,Loca,Ana Bárbara,Loca De Amar,https://open.spotify.com/track/3s3pbToR5GZYv7lis5utk1,2004-01-01,0.342,0.85,185787,0.679,0,0.0,4,0.299,-5.023,1,52,0.0742,99.976,0.885
3wWBjqx2dJlJRVJdnPzXsr,Opium of the People,Slipknot,Vol. 3: The Subliminal Verses (Special Edition),https://open.spotify.com/track/3wWBjqx2dJlJRVJdnPzXsr,2004,0.00761,0.352,192587,0.995,0,2.6e-05,11,0.511,-1.6669999999999998,1,49,0.181,134.262,0.138
6jLka2PiSCyGNpSTLiVB1l,El mandilon,Banda Machos,Pura pasión,https://open.spotify.com/track/6jLka2PiSCyGNpSTLiVB1l,2004-02-23,0.221,0.8,190227,0.609,0,0.0,0,0.175,-8.32,1,46,0.0575,138.319,0.965
0vlTyXdxncOF0RRKTMWfpo,The Illest Villains,Madvillain,Madvillainy,https://open.spotify.com/track/0vlTyXdxncOF0RRKTMWfpo,2004-03-24,0.546,0.402,115360,0.8170000000000001,1,0.00889,10,0.426,-9.215,0,46,0.307,97.267,0.334
6H503HrJOogVycvQkq2SuG,Kenji,Fort Minor,The Rising Tied,https://open.spotify.com/track/6H503HrJOogVycvQkq2SuG,2005-11-21,0.176,0.701,231480,0.913,1,0.000479,10,0.0801,-4.664,0,48,0.111,103.002,0.652
0cli6LmLOFcYqx0JrqAe0k,Dreams,The Cranberries,20th Century Masters - The Millennium Collection: The Best Of The Cranberries,https://open.spotify.com/track/0cli6LmLOFcYqx0JrqAe0k,2005-09-27,0.001,0.5329999999999999,254227,0.866,0,0.000446,4,0.524,-6.367000000000001,1,45,0.0499,128.489,0.395
6F3YJ3vWzatHA3nz6GwDoA,Regálame una Noche,Maelo Ruiz,Regálame Una Noche,https://open.spotify.com/track/6F3YJ3vWzatHA3nz6GwDoA,2005-08-24,0.17,0.627,278187,0.6729999999999999,0,0.0,9,0.0948,-5.291,0,61,0.0569,174.523,0.499
0OEBOJhSObnFuHuasXdt52,Dia de Enero,Shakira,"Fijación Oral, Vol. 1",https://open.spotify.com/track/0OEBOJhSObnFuHuasXdt52,2005-06-03,0.35,0.687,173133,0.361,0,1.11e-05,10,0.11,-11.589,1,64,0.0792,165.747,0.526
2PNjn68WCzvsJwAc37eFki,The Green Fields Of France (No Man's Land),Dropkick Murphys,The Warrior's Code,https://open.spotify.com/track/2PNjn68WCzvsJwAc37eFki,2005-07-19,0.639,0.471,285640,0.444,0,0.0,3,0.0968,-7.155,1,52,0.0299,145.054,0.35
1gJnLSxvNGu96XBj2uweja,Start From Scratch,"The Game, Marsha of Floetry",The Documentary,https://open.spotify.com/track/1gJnLSxvNGu96XBj2uweja,2005,0.377,0.765,247333,0.7090000000000001,1,0.0,10,0.345,-4.448,0,49,0.285,89.896,0.7190000000000001
3VGggSf2S6P3779YgPjYEW,One Love,Hootie & The Blowfish,Looking for Lucky,https://open.spotify.com/track/3VGggSf2S6P3779YgPjYEW,2005-08-09,0.153,0.502,246800,0.74,0,5.45e-06,3,0.0951,-3.043,1,45,0.0337,161.208,0.574
558BHSecDFS85E2L2aKzP8,Land Locked Blues,Bright Eyes,"I'm Wide Awake, It's Morning",https://open.spotify.com/track/558BHSecDFS85E2L2aKzP8,2005-01-25,0.831,0.479,347733,0.259,0,0.0,3,0.142,-11.928,1,47,0.0681,137.911,0.338
13YyYNBofurxZCNYiFDibB,Faithful,Common,Be,https://open.spotify.com/track/13YyYNBofurxZCNYiFDibB,2005-01-01,0.113,0.746,213080,0.8440000000000001,1,8.71e-05,4,0.39,-8.154,1,47,0.191,90.852,0.511
0doPUFYZPjLAFNfqoZy7Jw,Que Me Alcance la Vida,Sin Bandera,Mañana,https://open.spotify.com/track/0doPUFYZPjLAFNfqoZy7Jw,2005-11-18,0.76,0.6940000000000001,228560,0.47,0,0.0,11,0.128,-8.943999999999997,1,60,0.0337,121.975,0.287
7xKGghZ59EGUT0Ft9BRVMr,Love Is the Answer - Single Version,"England Dan, John Ford Coley",Rhino Hi-Five: England Dan & John Ford Coley,https://open.spotify.com/track/7xKGghZ59EGUT0Ft9BRVMr,2005-09-20,0.199,0.384,281293,0.569,0,0.000367,3,0.182,-11.974,1,50,0.0512,203.105,0.5379999999999999
1TF8mSG5YHyaS4o3NeBSAo,Munich,Editors,The Back Room,https://open.spotify.com/track/1TF8mSG5YHyaS4o3NeBSAo,2005-01-01,0.00052,0.173,226427,0.872,0,0.0353,7,0.324,-4.39,0,60,0.0533,149.361,0.39
2TXMsGsDbTBPTqwCoKzMl7,"Gasolina (with Pitbull, Lil Jon, Noriega, Dj Buddha) - Dj Buddha Remix","Daddy Yankee, Pitbull, Lil Jon, Noriega, DJ Buddha","Reggaeton! (18 Latin Hits, The Very Best of Reggaeton, Dembow, Urban)",https://open.spotify.com/track/2TXMsGsDbTBPTqwCoKzMl7,2005-09-09,0.0431,0.7140000000000001,283040,0.818,0,0.0,6,0.122,-7.524,1,50,0.189,96.021,0.637
56b58iOsWDoqeifSiIuOmj,Promise Ring (feat. Ciara),"Tiffany Evans, Ciara",Tiffany Evans,https://open.spotify.com/track/56b58iOsWDoqeifSiIuOmj,2005,0.0391,0.754,265320,0.809,0,8.04e-06,11,0.0558,-6.809,1,46,0.292,127.982,0.722
0RW9lpU6FOyGNawOa3MbH8,Cumbia Morena,Control,Mas Control,https://open.spotify.com/track/0RW9lpU6FOyGNawOa3MbH8,2005-01-01,0.196,0.826,194987,0.7120000000000001,0,5.27e-06,10,0.297,-5.851,1,46,0.0403,106.608,0.968
4mSa4FTQnnlrSMkbHUdo7B,Fu Man Chu,"Desmond Dekker, The Aces",The Definitive Collection: You Can Get It If You Really Want,https://open.spotify.com/track/4mSa4FTQnnlrSMkbHUdo7B,2005-01-21,0.524,0.763,199747,0.39,0,0.000358,7,0.287,-10.074,1,53,0.0863,83.756,0.675
2xFELTbN4G0rgID5uQGLvP,Tears In The Typing Pool,Broadcast,Tender Buttons,https://open.spotify.com/track/2xFELTbN4G0rgID5uQGLvP,2005-09-19,0.916,0.318,132160,0.149,0,0.000154,9,0.118,-13.001,0,49,0.035,145.91299999999995,0.368
