id,track_name,artist_name,album_name,external_url,preview_url,release_date
6MdrALp9eGmu7ZJuSKvSkl,No Come Down,Run The Jewels,Run the Jewels,https://open.spotify.com/track/6MdrALp9eGmu7ZJuSKvSkl,,2013-06-26
1XPMs9Qm63aOGZ7l0vYgy5,Round Here,Florida Georgia Line,Here's To The Good Times...This Is How We Roll,https://open.spotify.com/track/1XPMs9Qm63aOGZ7l0vYgy5,,2013-01-01
1ONWW6AtqqwjhMdQ74n2fM,Long Distance,The Districts,Telephone,https://open.spotify.com/track/1ONWW6AtqqwjhMdQ74n2fM,,2013
30BBwDTjwHQf1ixFGaE2o2,Booyah,Showtek,Booyah,https://open.spotify.com/track/30BBwDTjwHQf1ixFGaE2o2,,2013-01-01
5LLMYWdANGwQTfGtTi30Bp,Elouise,The Lumineers,The Lumineers (Deluxe Edition),https://open.spotify.com/track/5LLMYWdANGwQTfGtTi30Bp,,2013-08-20
6auKwmkIcf974eq0lRJ8tt,Colorado - Bonus Track,Tech N9ne,Something Else (All Access Edition),https://open.spotify.com/track/6auKwmkIcf974eq0lRJ8tt,,2013-07-30
7lhkOb0VNnTlshwifCEoSr,Molasses (feat. RZA),Earl Sweatshirt,Doris,https://open.spotify.com/track/7lhkOb0VNnTlshwifCEoSr,,2013-08-16
34fJIXIKjz8tbUwzRiD4lj,Wind & Anchor,The National Parks,Young,https://open.spotify.com/track/34fJIXIKjz8tbUwzRiD4lj,,2013-09-03
4nwxCitFgnLugXCl0JFNTJ,Sweet Serenade,Pusha T,My Name Is My Name,https://open.spotify.com/track/4nwxCitFgnLugXCl0JFNTJ,,2013-10-31
6h8oQHda1vXeex187OLud3,Chuper Amigos,Jenni Rivera,Jenni,https://open.spotify.com/track/6h8oQHda1vXeex187OLud3,,2008-07-12
0cqkujgud4p3rTT5yJ4dz3,From Can to Can't,Corey Taylor,Sound City - Real to Reel,https://open.spotify.com/track/0cqkujgud4p3rTT5yJ4dz3,,2013-03-08
2gKZXeCTkQjblUQgnKF7Ow,Obvious Bicycle,Vampire Weekend,Modern Vampires of the City,https://open.spotify.com/track/2gKZXeCTkQjblUQgnKF7Ow,,2013-05-27
63LAR8TGAGvpfLLM8Z1weo,Applause,Lady Gaga,Applause,https://open.spotify.com/track/63LAR8TGAGvpfLLM8Z1weo,,2013-01-01
7Bxv0WL7UC6WwQpk9TzdMJ,Within,Daft Punk,Random Access Memories,https://open.spotify.com/track/7Bxv0WL7UC6WwQpk9TzdMJ,,2013-05-20
6Xy0TKhM0Ytjt65QuVEN67,Petite fleur,Jill Barber,Chansons,https://open.spotify.com/track/6Xy0TKhM0Ytjt65QuVEN67,,2013-01-29
6FkX1akf4mwRZSznL73kDR,24/Seven,Big Time Rush,24/seven,https://open.spotify.com/track/6FkX1akf4mwRZSznL73kDR,,2013-06-10
6fVX8mF9ZqS1V8G2ZFCbLQ,Star Trek Main Theme,Michael Giacchino,Star Trek Into Darkness (Music From The Motion Picture),https://open.spotify.com/track/6fVX8mF9ZqS1V8G2ZFCbLQ,,2013-01-01
6zX3HwSuoQThrabeoHJvCs,Irish Pub Song,The High Kings,Irish Pub Song,https://open.spotify.com/track/6zX3HwSuoQThrabeoHJvCs,,2013-04-05
3EohIqtAdq75dsDmNJq73d,Party People,Florida Georgia Line,Here's To The Good Times...This Is How We Roll,https://open.spotify.com/track/3EohIqtAdq75dsDmNJq73d,,2013-01-01
2lfmRyTLtsTCkLwMQcFSQk,Southern Comfort Zone,Brad Paisley,Wheelhouse,https://open.spotify.com/track/2lfmRyTLtsTCkLwMQcFSQk,,2013-04-09
2kvyMNHyxQt2UJ5EKvxaOC,Bonfire Heart,James Blunt,Moon Landing,https://open.spotify.com/track/2kvyMNHyxQt2UJ5EKvxaOC,,2013-10-04
3lSKMMrldkJKvYXOrjEzT5,Stupid,Brendan Maclean,Stupid,https://open.spotify.com/track/3lSKMMrldkJKvYXOrjEzT5,,2013-02-11
5emNIXNwaRyHFlka8WORfh,Warming Sun,Dirty Heads,Home | Phantoms of Summer: The Acoustic Sessions,https://open.spotify.com/track/5emNIXNwaRyHFlka8WORfh,,2013-10-29
78TKtlSLWK8pZAKKW3MyQL,Say Something,A Great Big World,Say Something,https://open.spotify.com/track/78TKtlSLWK8pZAKKW3MyQL,,2013-11-04
5XLjIFOigk5R4oc9UUuG8M,The Set Up,Favored Nations,"The Music of Grand Theft Auto V, Vol. 1: Original Music",https://open.spotify.com/track/5XLjIFOigk5R4oc9UUuG8M,,2013-09-24
